"ID_SECUENCIAL","COD_INFRA","NOMBRE_CENTRO_EDUCATIVO","Departamento","Municipio","Nivel_Educativo","Turno","Especialidad"
1,10002,Centro Escolar Alfredo Espino,Ahuachapán,Ahuachapán,Básica,Vespertino,Ciencias Naturales
2,10007,Centro Escolar Carlota León viuda de Trigueros,Ahuachapán,Ahuachapán,Básica,Matutino,Educación Básica I y II Ciclos
3,10011,Centro Escolar Cantón Los Huatales,Ahuachapán,Ahuachapán,Básica,Matutino,Educación Básica I y II Ciclos
4,10011,Centro Escolar Cantón Los Huatales,Ahuachapán,Ahuachapán,Básica,Matutino,Educación Básica I y II Ciclos
5,10013,Complejo Educativo General Fabio Morán,Ahuachapán,Ahuachapán,Media,Matutino,Ciencias Comerciales
6,10013,Complejo Educativo General Fabio Morán,Ahuachapán,Ahuachapán,Básica,Matutino,Inglés
7,10014,Centro Escolar Isabel Carrillo de Bolaños,Ahuachapán,Ahuachapán,Básica,Matutino,Lenguaje Y Literatura
8,10019,Centro Escolar Cantón Ashapuco,Ahuachapán,Ahuachapán,Básica,Vespertino,Ciencias Naturales
9,10022,Centro Escolar Cantón Los Magueyes,Ahuachapán,Ahuachapán,Parvularia,Matutino,Educación Parvularia
10,10026,Centro Escolar Abelina Arriaza,Ahuachapán,Ahuachapán,Básica,Matutino,Matemática
11,10031,Complejo Educativo Doctor Arturo Romero,Ahuachapán,Ahuachapán,Media,Matutino,Prof. De Educación Media En Sistemas Informáticos
12,10052,Instituto Nacional Alejandro de Humboldt,Ahuachapán,Ahuachapán,Media,Vespertino,Prof. De Educación Media En Sistemas Informáticos
13,10052,Instituto Nacional Alejandro de Humboldt,Ahuachapán,Ahuachapán,Media,Vespertino,Ciencias Naturales
14,14809,Centro Escolar Colonia Las Palmeras,Ahuachapán,Ahuachapán,Básica,Vespertino,Educación Básica I y II Ciclos
15,60135,Centro Escolar Caserío Los Arévalos Cantón El Anonal,Ahuachapán,Ahuachapán,Parvularia,Matutino,Educación Parvularia
16,60135,Centro Escolar Caserío Los Arévalos Cantón El Anonal,Ahuachapán,Ahuachapán,Básica,Vespertino,Educación Básica I y II Ciclos
17,86340,Centro Escolar Caserío Nuevo Nance Amarillo Cantón Río Frío,Ahuachapán,Ahuachapán,Parvularia,Matutino,Educación Parvularia
18,86490,Centro Escolar Hacienda El Carmen Cantón Río Frío,Ahuachapán,Ahuachapán,Básica,Vespertino,Educación Básica I y II Ciclos
19,10060,Instituto Nacional Licenciado José Daniel Carías,Ahuachapán,Apaneca,Media,Matutino,Ciencias Naturales
20,60031,Centro Escolar Caserío El Chirizo Cantón Texuzín,Ahuachapán,Ataco,Parvularia,Matutino,Educación Parvularia
21,60031,Centro Escolar Caserío El Chirizo Cantón Texuzín,Ahuachapán,Ataco,Básica,Matutino,Matemática
22,60035,Centro Escolar Caserío Finca Matala Cantón El Naranjito,Ahuachapán,Ataco,Básica,Matutino,Educación Básica I y II Ciclos
23,60035,Centro Escolar Caserío Finca Matala Cantón El Naranjito,Ahuachapán,Ataco,Parvularia,Matutino,Educación Parvularia
24,60035,Centro Escolar Caserío Finca Matala Cantón El Naranjito,Ahuachapán,Ataco,Básica,Matutino,Ciencias Sociales
25,10063,Centro Escolar Cantón El Salitrero,Ahuachapán,Atiquizaya,Básica,Matutino,Educación Básica I y II Ciclos
26,10064,Centro Escolar Cantón Lomas de Alarcón,Ahuachapán,Atiquizaya,Básica,Vespertino,Inglés
27,10066,Centro Escolar Cantón Rincón Grande,Ahuachapán,Atiquizaya,Parvularia,Matutino,Educación Parvularia
28,10066,Centro Escolar Cantón Rincón Grande,Ahuachapán,Atiquizaya,Básica,Vespertino,Lenguaje Y Literatura
29,10071,Centro Escolar Cantón El Tortuguero,Ahuachapán,Atiquizaya,Básica,Matutino,Educación Básica I y II Ciclos
30,10073,Instituto Nacional Cornelio Azenón Sierra,Ahuachapán,Atiquizaya,Media,Vespertino,Inglés
31,10073,Instituto Nacional Cornelio Azenón Sierra,Ahuachapán,Atiquizaya,Media,Vespertino,Estudios Sociales
32,10076,Centro Escolar General Francisco Menéndez,Ahuachapán,Atiquizaya,Básica,Matutino,Prof. De Educación Artística
33,10076,Centro Escolar General Francisco Menéndez,Ahuachapán,Atiquizaya,Básica,Vespertino,Matemática
34,10076,Centro Escolar General Francisco Menéndez,Ahuachapán,Atiquizaya,Básica,Vespertino,Matemática
35,10077,Centro Escolar Mercedes Monterrosa de Cárcamo,Ahuachapán,Atiquizaya,Media,Matutino,Prof. De Educación Media Técnica En La Especialidad De Computación
36,10079,Centro Escolar Antonio José de Sucre,Ahuachapán,Atiquizaya,Básica,Matutino,Educación Básica I y II Ciclos
37,10083,Centro Escolar Cantón Joya del Platanar,Ahuachapán,Atiquizaya,Básica,Matutino,Educación Básica I y II Ciclos
38,60025,Centro Escolar Cantón El Tapacún,Ahuachapán,Atiquizaya,Básica,Matutino,Educación Básica I y II Ciclos
39,60025,Centro Escolar Cantón El Tapacún,Ahuachapán,Atiquizaya,Parvularia,Matutino,Educación Parvularia
40,10097,Centro Escolar Francisco Gavidia,Ahuachapán,El Refugio,Básica,Vespertino,Lenguaje Y Literatura
41,10117,Instituto Nacional de El Refugio,Ahuachapán,El Refugio,Media,Matutino,Ciencias Sociales
42,10101,Centro Escolar Cantón Platanares,Ahuachapán,Guaymango,Básica,Matutino,Educación Básica I y II Ciclos
43,10105,Centro Escolar Hacienda San Martín y Larín,Ahuachapán,Guaymango,Básica,Matutino,Educación Básica I y II Ciclos
44,10105,Centro Escolar Hacienda San Martín y Larín,Ahuachapán,Guaymango,Básica,Vespertino,Inglés
45,60037,Centro Escolar Cantón Cauta Arriba,Ahuachapán,Guaymango,Básica,Vespertino,Inglés
46,60038,"Centro Escolar Caserío Los Rivas, Cantón Cauta Abajo",Ahuachapán,Guaymango,Parvularia,Matutino,Educación Parvularia
47,60038,"Centro Escolar Caserío Los Rivas, Cantón Cauta Abajo",Ahuachapán,Guaymango,Básica,Vespertino,Inglés
48,60040,Centro Escolar Caserío Morro Grande Cantón El Zarzal,Ahuachapán,Guaymango,Básica,Vespertino,Matemática
49,60040,Centro Escolar Caserío Morro Grande Cantón El Zarzal,Ahuachapán,Guaymango,Parvularia,Vespertino,Educación Parvularia
50,60042,Centro Escolar Cantón Istagapán,Ahuachapán,Guaymango,Básica,Vespertino,Ciencias Naturales
51,60044,Centro Escolar Caserío Santa Elena,Ahuachapán,Guaymango,Básica,Vespertino,Inglés
52,60044,Centro Escolar Caserío Santa Elena,Ahuachapán,Guaymango,Básica,Vespertino,Matemática
53,60050,Centro Escolar Cantón La Paz,Ahuachapán,Guaymango,Parvularia,Matutino,Educación Parvularia
54,60050,Centro Escolar Cantón La Paz,Ahuachapán,Guaymango,Básica,Vespertino,Matemática
55,60050,Centro Escolar Cantón La Paz,Ahuachapán,Guaymango,Básica,Vespertino,Inglés
56,60051,Centro Escolar Cantón El Carmen,Ahuachapán,Guaymango,Básica,Matutino,Educación Básica I y II Ciclos
57,60051,Centro Escolar Cantón El Carmen,Ahuachapán,Guaymango,Básica,Matutino,Educación Básica I y II Ciclos
58,60052,Centro Escolar Cantón San Andrés,Ahuachapán,Guaymango,Básica,Matutino,Inglés
59,86343,Centro Escolar Caserío Las Cuevitas Cantón El Rosario,Ahuachapán,Guaymango,Básica,Vespertino,Matemática
60,10109,Centro Escolar Finca El Salto,Ahuachapán,Jujutla,Básica,Vespertino,Ciencias Naturales
61,10109,Centro Escolar Finca El Salto,Ahuachapán,Jujutla,Básica,Vespertino,Matemática
62,10112,Centro Escolar Caserío Los Calderón,Ahuachapán,Jujutla,Parvularia,Matutino,Educación Parvularia
63,10120,Centro Escolar Doctor Sixto Alberto Padilla,Ahuachapán,Jujutla,Básica,Matutino,Educación Básica I y II Ciclos
64,10120,Centro Escolar Doctor Sixto Alberto Padilla,Ahuachapán,Jujutla,Básica,Vespertino,Educación Básica I y II Ciclos
65,10122,Centro Escolar Cantón San Antonio,Ahuachapán,Jujutla,Básica,Matutino,Ciencias Sociales
66,10122,Centro Escolar Cantón San Antonio,Ahuachapán,Jujutla,Básica,Vespertino,Matemática
67,10122,Centro Escolar Cantón San Antonio,Ahuachapán,Jujutla,Básica,Vespertino,Inglés
68,10707,Complejo Educativo Barra de Santiago,Ahuachapán,Jujutla,Básica,Matutino,Educación Básica I y II Ciclos
69,10707,Complejo Educativo Barra de Santiago,Ahuachapán,Jujutla,Media,Matutino,Ciencias Naturales
70,10707,Complejo Educativo Barra de Santiago,Ahuachapán,Jujutla,Media,Matutino,Matemática
71,10707,Complejo Educativo Barra de Santiago,Ahuachapán,Jujutla,Básica,Matutino,Educación Básica I y II Ciclos
72,10755,Instituto Nacional Técnico Vocacional de Jujutla,Ahuachapán,Jujutla,Media,Matutino,Matemática
73,10755,Instituto Nacional Técnico Vocacional de Jujutla,Ahuachapán,Jujutla,Media,Matutino,Contaduría Pública
74,60053,Centro Escolar Caserío Ahuachapio Cantón La Falla,Ahuachapán,Jujutla,Básica,Vespertino,Matemática
75,60057,Centro Escolar Cantón El Diamante,Ahuachapán,Jujutla,Básica,Vespertino,Inglés
76,60057,Centro Escolar Cantón El Diamante,Ahuachapán,Jujutla,Básica,Vespertino,Matemática
77,60058,Centro Escolar Caserío La Loma Cantón Los Amates,Ahuachapán,Jujutla,Parvularia,Matutino,Educación Parvularia
78,60139,Centro Escolar Cantón Rosario Arriba,Ahuachapán,Jujutla,Parvularia,Matutino,Educación Parvularia
79,60266,Centro Escolar Caserío El Quebracho Cantón San Antonio,Ahuachapán,Jujutla,Básica,Vespertino,Educación Básica I y II Ciclos
80,10125,Complejo Educativo Cantón El Zapote,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Lenguaje Y Literatura
81,10125,Complejo Educativo Cantón El Zapote,Ahuachapán,San Francisco Menéndez,Media,Matutino,Ciencias Naturales
82,10127,Centro Escolar Hacienda Nueva York,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
83,10127,Centro Escolar Hacienda Nueva York,Ahuachapán,San Francisco Menéndez,Parvularia,Matutino,Educación Parvularia
84,10129,Centro Escolar Caserío Santa Elena,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
85,10134,Complejo Educativo Cantón La Hachadura,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
86,10139,Complejo Educativo Garita Palmera,Ahuachapán,San Francisco Menéndez,Parvularia,Matutino,Educación Parvularia
87,10139,Complejo Educativo Garita Palmera,Ahuachapán,San Francisco Menéndez,Media,Matutino,Lenguaje Y Literatura
88,10139,Complejo Educativo Garita Palmera,Ahuachapán,San Francisco Menéndez,Media,Matutino,Inglés
89,10139,Complejo Educativo Garita Palmera,Ahuachapán,San Francisco Menéndez,Media,Matutino,Matemática
90,10141,Centro Escolar Caserío Puente Arce Cantón El Jocotillo,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Matemática
91,10141,Centro Escolar Caserío Puente Arce Cantón El Jocotillo,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Ciencias Sociales
92,10142,Centro Escolar Hacienda Bola de Monte,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Matemática
93,10142,Centro Escolar Hacienda Bola de Monte,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Ciencias Naturales
94,10142,Centro Escolar Hacienda Bola de Monte,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Lenguaje Y Literatura
95,10145,Centro Escolar Caserío Talpetate,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Matemática
96,10146,Centro Escolar Caserío Los Conacastes,Ahuachapán,San Francisco Menéndez,Parvularia,Matutino,Educación Parvularia
97,10148,Centro Escolar General Francisco Menéndez,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
98,10148,Centro Escolar General Francisco Menéndez,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Inglés
99,10148,Centro Escolar General Francisco Menéndez,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Matemática
100,10310,Centro Escolar República de México,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
101,60062,Centro Escolar Caserío San Alfonso Cantón San Benito,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Matemática
102,60063,Complejo Educativo Caserío El Refugio Cantón San Benito,Ahuachapán,San Francisco Menéndez,Media,Vespertino,Ciencias Sociales
103,60063,Complejo Educativo Caserío El Refugio Cantón San Benito,Ahuachapán,San Francisco Menéndez,Media,Vespertino,Ciencias Naturales
104,60064,Centro Escolar Caserío San Benito Cantón San Benito,Ahuachapán,San Francisco Menéndez,Parvularia,Matutino,Educación Parvularia
105,60064,Centro Escolar Caserío San Benito Cantón San Benito,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Lenguaje Y Literatura
106,60064,Centro Escolar Caserío San Benito Cantón San Benito,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Matemática
107,60066,Centro Escolar Caserío El Chino Cantón Garita Palmera,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Matemática
108,60066,Centro Escolar Caserío El Chino Cantón Garita Palmera,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Inglés
109,60070,Centro Escolar Caserío La Máquina,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Estudios Sociales
110,60075,Centro Escolar Caserío Tamasha Cantón El Corozo,Ahuachapán,San Francisco Menéndez,Básica,Vespertino,Matemática
111,60076,Centro Escolar Caserío El Porvenir Cantón El Zapote,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Matemática
112,60209,Centro Escolar Caserío Los Palmos La Danta Cantón La Hachadura,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
113,60262,Centro Escolar Paz y Progreso,Ahuachapán,San Francisco Menéndez,Básica,Matutino,Educación Básica I y II Ciclos
114,10154,Centro Escolar Cantón Guascota,Ahuachapán,San Lorenzo,Parvularia,Matutino,Educación Parvularia
115,10155,Complejo Educativo Cantón Las Pozas,Ahuachapán,San Lorenzo,Básica,Vespertino,Inglés
116,10155,Complejo Educativo Cantón Las Pozas,Ahuachapán,San Lorenzo,Básica,Vespertino,Educación Básica I y II Ciclos
117,60077,Centro Escolar Caserío San Matías Cantón El Jicaral,Ahuachapán,San Lorenzo,Básica,Matutino,Educación Básica I y II Ciclos
118,10156,Complejo Educativo Profesor Pablo Soriano Urquilla,Ahuachapán,San Pedro Puxtla,Media,Vespertino,Lenguaje Y Literatura
119,10156,Complejo Educativo Profesor Pablo Soriano Urquilla,Ahuachapán,San Pedro Puxtla,Básica,Vespertino,Inglés
120,10157,Centro Escolar Cantón El Cortez,Ahuachapán,San Pedro Puxtla,Básica,Vespertino,Matemática
121,10159,Centro Escolar Cantón La Concepción,Ahuachapán,San Pedro Puxtla,Básica,Matutino,Educación Básica I y II Ciclos
122,10159,Centro Escolar Cantón La Concepción,Ahuachapán,San Pedro Puxtla,Parvularia,Matutino,Educación Parvularia
123,86342,Centro Escolar Caserío Los Altuve Cantón Guachipilín,Ahuachapán,San Pedro Puxtla,Parvularia,Matutino,Educación Parvularia
124,10170,Complejo Educativo Adela Calderón de Herrera,Ahuachapán,Tacuba,Básica,Matutino,Educación Básica I y II Ciclos
125,60084,Complejo Educativo Cantón El Jícaro,Ahuachapán,Tacuba,Media,Matutino,Ciencias Naturales
126,60084,Complejo Educativo Cantón El Jícaro,Ahuachapán,Tacuba,Básica,Vespertino,Matemática
127,60088,Centro Escolar Cantón El Rodeo,Ahuachapán,Tacuba,Básica,Vespertino,Matemática
128,60089,Centro Escolar Caserío Santa Teresa Cantón El Rosario,Ahuachapán,Tacuba,Básica,Matutino,Ciencias Naturales
129,60090,Centro Escolar Caserío Los Hernández Cantón El Rosario,Ahuachapán,Tacuba,Básica,Matutino,Ciencias Sociales
130,60092,Centro Escolar Cantón San Juan,Ahuachapán,Tacuba,Básica,Matutino,Educación Básica I y II Ciclos
131,60092,Centro Escolar Cantón San Juan,Ahuachapán,Tacuba,Básica,Vespertino,Matemática
132,60097,Centro Escolar Caserío La Angostura Cantón El Chagüite,Ahuachapán,Tacuba,Parvularia,Matutino,Educación Parvularia
133,60098,Centro Escolar Caserío Lomas de San Antonio Cantón El Chagüite,Ahuachapán,Tacuba,Parvularia,Matutino,Educación Parvularia
134,60098,Centro Escolar Caserío Lomas de San Antonio Cantón El Chagüite,Ahuachapán,Tacuba,Básica,Vespertino,Matemática
135,60100,Centro Escolar Cantón La Montaña,Ahuachapán,Tacuba,Básica,Matutino,Educación Básica I y II Ciclos
136,60104,Complejo Educativo Cantón Agua Fría,Ahuachapán,Tacuba,Parvularia,Matutino,Educación Parvularia
137,60104,Complejo Educativo Cantón Agua Fría,Ahuachapán,Tacuba,Media,Matutino,Ciencias Naturales
138,60261,Centro Escolar Caserío Las Mercedes Cantón El Sincuyo,Ahuachapán,Tacuba,Básica,Matutino,Estudios Sociales
139,86492,Centro Escolar Caserío Los Mendoza Cantón El Jícaro,Ahuachapán,Tacuba,Parvularia,Matutino,Educación Parvularia
140,86492,Centro Escolar Caserío Los Mendoza Cantón El Jícaro,Ahuachapán,Tacuba,Básica,Matutino,Educación Básica I y II Ciclos
