"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
222,Profesorado,"Educación Básica para I, II y III Ciclos",Instituto Especializado de Educación Superior El Espíritu Santo,"2020",1
220,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2017",1
226,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2016",1
236,Profesorado,Educación Inicial y Parvularia,Universidad Pedagógica de El Salvador,"2021",1
245,Licenciatura,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2019",1
249,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2012",1
254,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
253,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
260,Profesorado,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2012",1
261,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2021",1
255,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2015",1
246,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2012",1
267,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2012",1
252,Licenciatura,Ciencias Naturales,Universidad de Oriente,"2015",1
271,Profesorado,Ciencias Sociales,Universidad Occidental de El Salvador,"2003",1
272,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2013",1
280,Ingeniería,Matemática,Universidad de El Salvador- Santa Ana,"2014",1
263,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"14/07/2011",1
285,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
279,Licenciatura,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2021",1
281,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2016",1
290,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2021",1
286,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2014",1
238,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2015",1
302,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2013",1
293,Profesorado,Matemática,Universidad de El Salvador,"2014",1
262,Licenciatura,Educación Parvularia,Universidad Modular Abierta,"2019",1
308,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2013",1
239,Licenciatura,Ciencias Comerciales,Universidad Capitán General Gerardo Barrios - regional Usulután,"2009",1
317,Profesorado,Educación Inicial y Parvularia,Universidad Pedagógica de El Salvador,"2020",1
